epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,707.212,0.83977,0.40026,0.78672,0.87514,0.69088,0.79604,0.53322,0.8572,0.41691,0.79909,0.00112316,0.00112316,0.00112316
43,725.153,0.8565,0.4029,0.78279,0.89872,0.74318,0.81375,0.52979,0.87578,0.42377,0.79983,0.00112006,0.00112006,0.00112006
44,741.665,0.84387,0.40075,0.78525,0.91178,0.73116,0.80051,0.55163,0.85745,0.42573,0.80104,0.00111697,0.00111697,0.00111697
45,759.185,0.85294,0.40229,0.7834,0.84901,0.75127,0.7943,0.55674,0.83187,0.40939,0.79724,0.00111388,0.00111388,0.00111388
46,776.458,0.81114,0.38402,0.78321,0.89164,0.70962,0.77828,0.52727,0.84078,0.41032,0.79541,0.00111078,0.00111078,0.00111078
47,793.769,0.81496,0.38691,0.78295,0.89696,0.72907,0.82606,0.55495,0.84565,0.4062,0.79721,0.00110769,0.00110769,0.00110769
48,810.337,0.81671,0.38283,0.78282,0.91353,0.67143,0.78862,0.53002,0.89182,0.42665,0.80116,0.00110459,0.00110459,0.00110459
49,828.031,0.81232,0.38289,0.78458,0.86679,0.72771,0.79823,0.55392,0.83105,0.40297,0.79629,0.0011015,0.0011015,0.0011015
50,844.267,0.82607,0.38917,0.78316,0.93589,0.72979,0.81099,0.54115,0.84199,0.41663,0.79485,0.00109841,0.00109841,0.00109841
51,860.63,0.81704,0.38917,0.78379,0.86056,0.74364,0.83269,0.54136,0.85986,0.41363,0.79984,0.00109531,0.00109531,0.00109531
52,877.14,0.82266,0.38637,0.78358,0.88319,0.74066,0.79251,0.54911,0.83809,0.40963,0.79636,0.00109222,0.00109222,0.00109222
53,893.571,0.82696,0.38809,0.78293,0.91384,0.70432,0.79759,0.55224,0.84357,0.42062,0.79754,0.00108913,0.00108913,0.00108913
54,910.112,0.81479,0.38419,0.78286,0.93137,0.73619,0.81579,0.55451,0.8155,0.39702,0.79576,0.00108603,0.00108603,0.00108603
