epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,3050.26,0.57721,0.28078,0.76831,0.90889,0.73015,0.81991,0.58365,0.80308,0.37528,0.79045,0.000693125,0.000693125,0.000693125
182,3065.46,0.58451,0.28347,0.77012,0.97213,0.7203,0.80294,0.58046,0.7983,0.37512,0.79007,0.000690031,0.000690031,0.000690031
183,3080.67,0.57574,0.27951,0.76729,0.92671,0.71331,0.80715,0.57464,0.78416,0.36276,0.78814,0.000686937,0.000686937,0.000686937
184,3095.99,0.57445,0.28281,0.76755,0.96581,0.69858,0.81822,0.57753,0.81055,0.37839,0.7904,0.000683844,0.000683844,0.000683844
185,3111.43,0.56412,0.2807,0.76948,0.89333,0.70649,0.79547,0.55408,0.83754,0.38057,0.79189,0.00068075,0.00068075,0.00068075
186,3126.76,0.58445,0.28464,0.76862,0.94966,0.72166,0.81677,0.57747,0.81094,0.37594,0.79078,0.000677656,0.000677656,0.000677656
187,3141.97,0.56662,0.28268,0.76781,0.89158,0.70822,0.80213,0.56244,0.81845,0.37628,0.79018,0.000674562,0.000674562,0.000674562
188,3157.21,0.5636,0.27729,0.76934,0.92008,0.70759,0.79025,0.5682,0.80999,0.36566,0.79104,0.000671469,0.000671469,0.000671469
189,3172.48,0.55645,0.27585,0.76758,0.92566,0.68652,0.78318,0.55592,0.81032,0.38112,0.79123,0.000668375,0.000668375,0.000668375
190,3187.72,0.57821,0.28225,0.76966,0.88013,0.77206,0.80889,0.56621,0.80934,0.37598,0.79131,0.000665281,0.000665281,0.000665281
191,3203.05,0.57469,0.2834,0.76774,0.91807,0.70149,0.80805,0.56897,0.81852,0.37472,0.79122,0.000662188,0.000662188,0.000662188
192,3218.35,0.55271,0.27257,0.767,0.88444,0.71467,0.81559,0.58135,0.81858,0.37327,0.79092,0.000659094,0.000659094,0.000659094
193,3233.77,0.56751,0.2789,0.76445,0.90553,0.70611,0.79452,0.58215,0.80426,0.37394,0.78982,0.000656,0.000656,0.000656
194,3248.96,0.53333,0.26893,0.76626,0.92214,0.72176,0.80672,0.58634,0.80091,0.37028,0.79009,0.000652906,0.000652906,0.000652906
195,3264.25,0.54152,0.27118,0.76728,0.94545,0.71808,0.80417,0.58431,0.80983,0.37178,0.79125,0.000649813,0.000649813,0.000649813
196,3279.47,0.53562,0.26679,0.76822,0.91328,0.7279,0.81406,0.58901,0.79475,0.36713,0.79063,0.000646719,0.000646719,0.000646719
197,3294.67,0.57271,0.28013,0.7688,0.9278,0.72552,0.81347,0.58193,0.83389,0.37131,0.79252,0.000643625,0.000643625,0.000643625
198,3309.94,0.55085,0.27183,0.76947,0.9618,0.71952,0.81207,0.58055,0.79868,0.3736,0.78951,0.000640531,0.000640531,0.000640531
199,3325.27,0.55356,0.27273,0.76785,0.95635,0.72131,0.81487,0.59082,0.78131,0.35863,0.78976,0.000637437,0.000637437,0.000637437
200,3340.5,0.56976,0.27625,0.76569,0.96325,0.71892,0.81131,0.58204,0.78787,0.3615,0.78975,0.000634344,0.000634344,0.000634344
201,3355.78,0.57804,0.27644,0.76808,0.89299,0.72379,0.80116,0.58208,0.7998,0.35631,0.78999,0.00063125,0.00063125,0.00063125
202,3371.04,0.55027,0.26979,0.76736,0.89794,0.72018,0.79234,0.56641,0.81124,0.35945,0.79116,0.000628156,0.000628156,0.000628156
203,3386.28,0.52418,0.26133,0.76919,0.93102,0.71734,0.80069,0.5855,0.7872,0.36746,0.7898,0.000625062,0.000625062,0.000625062
204,3401.39,0.53223,0.26749,0.76731,0.94219,0.72813,0.81239,0.58286,0.79984,0.36149,0.79037,0.000621969,0.000621969,0.000621969
205,3416.79,0.53842,0.27116,0.76865,0.9336,0.72673,0.81117,0.58121,0.81015,0.36827,0.78937,0.000618875,0.000618875,0.000618875
206,3432.16,0.53101,0.26699,0.76511,0.97015,0.72296,0.79939,0.57616,0.80601,0.36943,0.78999,0.000615781,0.000615781,0.000615781
207,3447.41,0.52258,0.26389,0.76535,0.90187,0.71007,0.78892,0.55119,0.8139,0.37556,0.79166,0.000612687,0.000612687,0.000612687
208,3462.61,0.53645,0.26806,0.76686,0.95935,0.69866,0.79631,0.57827,0.8008,0.37486,0.79073,0.000609594,0.000609594,0.000609594
209,3477.8,0.54353,0.26731,0.76635,0.93174,0.70096,0.79694,0.57214,0.80556,0.3786,0.79043,0.0006065,0.0006065,0.0006065
210,3493.12,0.53801,0.27015,0.76743,0.92028,0.71664,0.79402,0.56893,0.81128,0.37393,0.79065,0.000603406,0.000603406,0.000603406
211,3508.41,0.53543,0.26749,0.76717,0.91248,0.67992,0.79384,0.56982,0.80201,0.36691,0.78945,0.000600313,0.000600313,0.000600313
212,3523.62,0.54771,0.26878,0.76607,0.94859,0.68005,0.79305,0.56269,0.81142,0.37353,0.79032,0.000597219,0.000597219,0.000597219
213,3539.11,0.52476,0.26078,0.76745,0.9639,0.69974,0.79816,0.5699,0.80461,0.36966,0.79023,0.000594125,0.000594125,0.000594125
214,3554.38,0.54084,0.26897,0.76714,0.94685,0.71075,0.80968,0.57875,0.80467,0.37566,0.78957,0.000591031,0.000591031,0.000591031
215,3569.71,0.53774,0.26483,0.76741,0.92254,0.70792,0.81776,0.57758,0.80633,0.36551,0.79078,0.000587938,0.000587938,0.000587938
216,3585.04,0.51969,0.26196,0.76581,0.95874,0.70648,0.82515,0.58658,0.80316,0.36777,0.79041,0.000584844,0.000584844,0.000584844
217,3603.97,0.52178,0.263,0.76465,0.95,0.70371,0.80293,0.57285,0.81011,0.37097,0.79033,0.00058175,0.00058175,0.00058175
218,3619.66,0.53946,0.26424,0.76661,0.91705,0.7172,0.81007,0.58132,0.81625,0.37417,0.79071,0.000578656,0.000578656,0.000578656
219,3635.27,0.56373,0.27695,0.76612,0.90026,0.72491,0.82039,0.58643,0.80758,0.37183,0.79028,0.000575563,0.000575563,0.000575563
220,3651.01,0.52133,0.26056,0.76573,0.87953,0.74136,0.82271,0.59232,0.80252,0.35433,0.79013,0.000572469,0.000572469,0.000572469
221,3666.64,0.51727,0.2574,0.76797,0.91862,0.73311,0.81859,0.5837,0.81262,0.36663,0.79037,0.000569375,0.000569375,0.000569375
222,3682.3,0.51752,0.26246,0.76625,0.94519,0.70857,0.79865,0.58067,0.79497,0.38136,0.79042,0.000566281,0.000566281,0.000566281
223,3697.85,0.52377,0.26455,0.76843,0.95801,0.69585,0.8188,0.58862,0.80235,0.37128,0.79006,0.000563187,0.000563187,0.000563187
224,3713.36,0.52442,0.26234,0.7667,0.92596,0.70508,0.80401,0.5832,0.80361,0.37349,0.79069,0.000560094,0.000560094,0.000560094
225,3728.84,0.51918,0.26105,0.76663,0.91026,0.68938,0.7868,0.57213,0.80655,0.37646,0.791,0.000557,0.000557,0.000557
226,3744.56,0.53431,0.26332,0.76636,0.91079,0.69657,0.79071,0.57771,0.79664,0.37225,0.79054,0.000553906,0.000553906,0.000553906
227,3760.31,0.51786,0.25826,0.76698,0.90667,0.71527,0.81143,0.58096,0.80569,0.36866,0.7905,0.000550813,0.000550813,0.000550813
228,3776.06,0.51485,0.25895,0.76737,0.95203,0.70808,0.81152,0.58721,0.80048,0.36783,0.79058,0.000547719,0.000547719,0.000547719
229,3791.64,0.49977,0.25265,0.76682,0.96264,0.72958,0.81468,0.59625,0.80822,0.36966,0.79082,0.000544625,0.000544625,0.000544625
230,3807.26,0.51334,0.25815,0.76723,0.89165,0.72428,0.80128,0.58562,0.81092,0.37782,0.7904,0.000541531,0.000541531,0.000541531
231,3822.83,0.49583,0.25532,0.76729,0.94377,0.70714,0.79725,0.57814,0.80093,0.37029,0.79026,0.000538438,0.000538438,0.000538438
232,3838.5,0.51572,0.25795,0.76733,0.95899,0.71507,0.80817,0.58527,0.79838,0.36514,0.79071,0.000535344,0.000535344,0.000535344
233,3854.18,0.51293,0.2587,0.7652,0.97656,0.72164,0.81388,0.59004,0.81537,0.36895,0.79139,0.00053225,0.00053225,0.00053225
234,3869.87,0.49868,0.25467,0.76602,0.89629,0.70649,0.80434,0.58344,0.81062,0.37542,0.79076,0.000529156,0.000529156,0.000529156
235,3885.41,0.50646,0.25878,0.76602,0.91369,0.71622,0.80299,0.57934,0.79326,0.36426,0.78984,0.000526063,0.000526063,0.000526063
236,3901.15,0.4934,0.24812,0.76586,0.96053,0.71585,0.80737,0.59158,0.7991,0.35999,0.79037,0.000522969,0.000522969,0.000522969
237,3916.67,0.53233,0.2634,0.76637,0.91015,0.69094,0.79442,0.57203,0.81602,0.36649,0.79236,0.000519875,0.000519875,0.000519875
238,3932.3,0.53534,0.26478,0.76683,0.932,0.68644,0.78439,0.56884,0.83015,0.3719,0.79281,0.000516781,0.000516781,0.000516781
239,3947.73,0.51629,0.25744,0.76569,0.92052,0.70136,0.79973,0.5805,0.81781,0.3717,0.79193,0.000513688,0.000513688,0.000513688
240,3963.23,0.50169,0.25262,0.7654,0.96838,0.71277,0.81984,0.59393,0.79778,0.37404,0.79012,0.000510594,0.000510594,0.000510594
241,3978.81,0.50542,0.25198,0.76564,0.9708,0.71376,0.80973,0.59263,0.78408,0.36115,0.78937,0.0005075,0.0005075,0.0005075
242,3994.43,0.49231,0.24881,0.76685,0.98269,0.70104,0.81156,0.5973,0.78427,0.3536,0.79016,0.000504406,0.000504406,0.000504406
243,4010.13,0.50404,0.25238,0.76464,0.97252,0.68969,0.8039,0.58925,0.80129,0.37683,0.79174,0.000501313,0.000501313,0.000501313
244,4025.8,0.5349,0.25981,0.76766,0.91691,0.71199,0.82098,0.5935,0.80316,0.3785,0.79044,0.000498219,0.000498219,0.000498219
