epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4537.07,0.32089,4.53482,0.26158,0.28052,1.03957,0.9667,1,0.99271,0.79879,0.35529,0.41176,0.2,0.04307,0.75064,6.50613,0.30019,0.70262,1.3657,0.00191797,0.00191797,0.00191797
31,4683.07,0.29316,4.88234,0.23506,0.26826,1.03162,1,0.99156,0.995,0.90495,0.15057,0.14706,0.05205,0.00843,0.58956,6.80473,0.27538,0.47632,0.96764,0.00191514,0.00191514,0.00191514
32,4833.13,0.28601,4.23762,0.22969,0.25597,1.0279,0.9837,1,0.995,0.88685,0.52207,0.52941,0.32849,0.10442,0.61996,4.43579,0.22994,0.46064,1.0455,0.00191231,0.00191231,0.00191231
33,4984.89,0.3186,3.92607,0.23027,0.26396,1.03756,0.99801,1,0.995,0.92489,0.6467,0.64706,0.55087,0.15984,0.53284,4.00878,0.19913,0.36187,0.92178,0.00190949,0.00190949,0.00190949
34,5143.08,0.29595,4.22409,0.21933,0.2516,1.03325,0.99586,1,0.995,0.92339,0.64521,0.64706,0.48561,0.14563,0.52679,4.12231,0.20959,0.38017,0.88903,0.00190666,0.00190666,0.00190666
35,5292.9,0.26546,4.13592,0.2184,0.25413,1.03707,0.99824,1,0.995,0.93701,0.2936,0.29412,0.16466,0.03753,0.50566,5.02811,0.19206,0.30935,0.86431,0.00190383,0.00190383,0.00190383
36,5447.84,0.28409,4.06048,0.22623,0.27251,1.03172,0.9958,1,0.995,0.93536,0.38034,0.47059,0.30731,0.08167,0.46497,4.68167,0.19999,0.36936,0.80573,0.001901,0.001901,0.001901
37,5599.01,0.257,3.68371,0.22151,0.24173,0.98785,0.99658,1,0.995,0.9306,0.68511,0.70588,0.57517,0.16726,0.46221,3.89639,0.2002,0.32516,0.80934,0.00189817,0.00189817,0.00189817
38,5750.62,0.28365,3.53019,0.20774,0.2502,1.02762,0.99176,1,0.995,0.91655,0.49588,0.5,0.3626,0.10104,0.54868,4.95798,0.20249,0.33893,0.88511,0.00189534,0.00189534,0.00189534
39,5899.5,0.25652,3.62699,0.22101,0.23537,0.99798,0.99811,1,0.995,0.93214,0.61648,0.61765,0.44817,0.1392,0.48883,3.99429,0.20356,0.31178,0.81764,0.00189251,0.00189251,0.00189251
40,6048.74,0.27891,3.18692,0.20622,0.24003,1.0057,0.99835,1,0.995,0.92799,0.82217,0.82353,0.7238,0.264,0.56795,3.13085,0.19884,0.35401,0.95263,0.00188969,0.00188969,0.00188969
41,6198.67,0.26993,3.35326,0.19657,0.24338,1.01914,0.9979,1,0.995,0.9426,0.58697,0.58824,0.51407,0.15217,0.49772,4.66529,0.20992,0.29903,0.82817,0.00188686,0.00188686,0.00188686
42,6352.56,0.28997,3.30706,0.21058,0.25909,1.01902,0.99836,1,0.995,0.94406,0.74823,0.73529,0.7148,0.2347,0.46706,3.84574,0.19789,0.31593,0.82052,0.00188403,0.00188403,0.00188403
43,6502.96,0.31152,3.05805,0.20989,0.26257,1.03583,0.99819,1,0.995,0.92549,0.76433,0.76471,0.74457,0.22884,0.51581,3.27191,0.19569,0.33718,0.8726,0.0018812,0.0018812,0.0018812
44,6658.37,0.27606,3.11502,0.19514,0.24554,1.02307,0.99795,1,0.995,0.94751,0.4209,0.41176,0.33123,0.11618,0.45403,4.24164,0.1914,0.32237,0.77425,0.00187837,0.00187837,0.00187837
45,6808.55,0.29331,2.87521,0.18628,0.26555,1.03217,0.99456,1,0.995,0.94993,0.62834,0.61765,0.53135,0.18028,0.47892,4.23231,0.21143,0.41087,0.80507,0.00187554,0.00187554,0.00187554
46,6973.04,0.28254,3.28409,0.20147,0.26693,1.02571,0.99861,1,0.995,0.90975,0.7816,0.76471,0.67869,0.3027,0.54038,3.42688,0.19748,0.37128,0.93443,0.00187271,0.00187271,0.00187271
47,7124.3,0.26687,3.22998,0.19869,0.27806,1.0088,0.99702,1,0.995,0.93912,0.58602,0.58824,0.45633,0.09974,0.46981,4.52056,0.22128,0.3931,0.83232,0.00186989,0.00186989,0.00186989
48,7282.09,0.27845,3.12383,0.1993,0.26633,0.98984,0.99652,0.97059,0.99443,0.94965,0.69393,0.67647,0.61792,0.21765,0.41041,3.86506,0.20121,0.34269,0.73313,0.00186706,0.00186706,0.00186706
49,7436.21,0.27249,3.29285,0.19149,0.25118,1.01298,1,0.99821,0.995,0.95087,0.45894,0.44118,0.30796,0.06801,0.48358,4.40384,0.21131,0.34024,0.81161,0.00186423,0.00186423,0.00186423
50,7594.04,0.25082,2.86103,0.18961,0.24003,0.99732,0.99836,0.97059,0.99119,0.93346,0.36931,0.35294,0.23085,0.05348,0.51334,5.18743,0.19836,0.37403,0.88855,0.0018614,0.0018614,0.0018614
51,7744.81,0.27779,3.238,0.20126,0.25275,1.00052,0.99678,1,0.995,0.95307,0.73581,0.73529,0.63677,0.28661,0.48637,3.01335,0.18958,0.3275,0.84,0.00185857,0.00185857,0.00185857
52,7901.31,0.25758,2.86154,0.18554,0.23985,0.98326,0.99837,1,0.995,0.92889,0.93961,0.94118,0.91804,0.43233,0.49795,2.50883,0.18949,0.3104,0.84715,0.00185574,0.00185574,0.00185574
53,8029.52,0.24799,2.55144,0.17947,0.23826,0.97043,0.99822,1,0.995,0.9361,0.96886,0.97059,0.97546,0.38372,0.51807,2.53594,0.18572,0.36184,0.8436,0.00185291,0.00185291,0.00185291
54,8157.09,0.2369,2.64103,0.18273,0.22014,0.97952,0.99807,1,0.995,0.91907,0.96872,0.97059,0.95075,0.38029,0.49149,2.4333,0.17645,0.36479,0.82233,0.00185009,0.00185009,0.00185009
55,8290.68,0.2282,2.6423,0.1817,0.21903,0.97296,0.99613,1,0.995,0.96076,0.61521,0.61765,0.51413,0.14301,0.40059,3.78321,0.19271,0.278,0.71831,0.00184726,0.00184726,0.00184726
56,8422.39,0.24934,2.98936,0.18016,0.23161,0.99553,0.99808,1,0.995,0.95763,0.7633,0.76471,0.69521,0.32292,0.42723,3.23674,0.18871,0.31603,0.76462,0.00184443,0.00184443,0.00184443
57,8573.2,0.2374,2.8955,0.18836,0.22415,0.97529,0.99785,1,0.995,0.95482,0.76299,0.76471,0.76639,0.30262,0.4332,3.47049,0.18177,0.27297,0.74382,0.0018416,0.0018416,0.0018416
58,8728.12,0.21036,2.89694,0.1851,0.20869,0.95507,0.99658,1,0.995,0.95094,0.64485,0.64706,0.55147,0.13352,0.40386,3.46808,0.18592,0.28182,0.70199,0.00183877,0.00183877,0.00183877
59,8877.07,0.2249,2.65999,0.18297,0.21452,0.97156,0.99328,1,0.995,0.94052,0.90527,0.91176,0.8638,0.38139,0.45701,2.41444,0.17288,0.36115,0.80813,0.00183594,0.00183594,0.00183594
60,9034.61,0.23361,2.65231,0.18908,0.22028,0.95816,1,0.99862,0.995,0.93416,0.82335,0.82254,0.85307,0.41559,0.51678,2.86495,0.19634,0.4052,0.8785,0.00183311,0.00183311,0.00183311
61,9186.78,0.2388,2.5667,0.1724,0.21379,1.0182,0.99848,1,0.995,0.95965,0.82222,0.82353,0.83263,0.44345,0.42542,2.80429,0.18827,0.28553,0.75394,0.00183029,0.00183029,0.00183029
62,9341.76,0.26007,2.34243,0.17963,0.23414,1.02845,0.99839,1,0.995,0.94863,0.93963,0.94118,0.96086,0.39751,0.44418,2.43914,0.18974,0.27736,0.76884,0.00182746,0.00182746,0.00182746
63,9498.21,0.24745,2.28726,0.17184,0.22538,0.99683,1,0.9934,0.995,0.95647,0.85559,0.88235,0.89565,0.53303,0.41673,2.25903,0.18545,0.30952,0.74213,0.00182463,0.00182463,0.00182463
64,9661.94,0.22958,2.38162,0.17916,0.22297,0.97311,0.99783,0.97059,0.99338,0.95805,0.84664,0.82353,0.8504,0.33917,0.44128,2.82145,0.19958,0.27446,0.77724,0.0018218,0.0018218,0.0018218
65,9815.21,0.24089,2.27864,0.17087,0.22962,0.98618,1,0.99837,0.995,0.94921,0.85271,0.85144,0.82339,0.35441,0.40316,2.82156,0.20199,0.29433,0.73118,0.00181897,0.00181897,0.00181897
66,9964.89,0.22878,2.07892,0.17419,0.21852,0.99198,0.99842,0.97059,0.99338,0.95113,0.90766,0.88235,0.85605,0.38787,0.46189,2.93199,0.21163,0.32191,0.75747,0.00181614,0.00181614,0.00181614
67,10114.5,0.24535,2.22895,0.16776,0.21823,0.97174,1,0.99849,0.995,0.94327,0.78653,0.76471,0.81349,0.41881,0.49552,2.79617,0.1997,0.32885,0.81803,0.00181331,0.00181331,0.00181331
68,10269.7,0.21525,2.2496,0.17824,0.22095,0.97127,0.99914,1,0.995,0.95636,0.96482,0.94118,0.94554,0.49732,0.40381,2.24114,0.17152,0.28868,0.72814,0.00181049,0.00181049,0.00181049
69,10423.3,0.23073,2.43065,0.16358,0.20353,0.99006,0.99877,1,0.995,0.9596,0.86043,0.90668,0.84333,0.39779,0.41272,2.41535,0.18107,0.27534,0.73522,0.00180766,0.00180766,0.00180766
70,10580.2,0.22412,2.09989,0.17509,0.20618,0.9541,0.99828,1,0.995,0.9679,0.99828,1,0.995,0.47792,0.38726,2.20442,0.17596,0.27911,0.71089,0.00180483,0.00180483,0.00180483
71,10730.4,0.2104,2.10283,0.17331,0.19451,0.97583,0.96491,1,0.98757,0.94419,0.93653,0.97059,0.94491,0.50168,0.40938,1.99573,0.1631,0.34949,0.73548,0.001802,0.001802,0.001802
72,10886,0.2359,2.23305,0.17225,0.21444,0.97963,1,0.99512,0.995,0.95979,0.99268,0.97059,0.98112,0.51741,0.42644,1.96982,0.16821,0.30571,0.73974,0.00179917,0.00179917,0.00179917
73,11037.8,0.23205,1.94449,0.16937,0.20757,0.97605,0.99813,1,0.995,0.95623,0.91006,0.91176,0.88501,0.40261,0.40893,2.44501,0.16907,0.30329,0.76374,0.00179634,0.00179634,0.00179634
74,11193.3,0.2399,2.03036,0.17562,0.21407,0.98616,0.99831,1,0.995,0.95516,0.99831,1,0.995,0.63516,0.41261,1.52336,0.17236,0.29155,0.73653,0.00179351,0.00179351,0.00179351
75,11343.4,0.21437,1.94396,0.16595,0.19657,0.94229,0.99846,1,0.995,0.96731,0.99846,1,0.995,0.62827,0.39706,1.61593,0.16364,0.28193,0.71168,0.00179069,0.00179069,0.00179069
76,11499.7,0.218,2.39525,0.16654,0.19958,0.95365,0.9982,1,0.995,0.96467,0.85243,0.85294,0.88795,0.44964,0.45118,2.79674,0.16767,0.26999,0.76936,0.00178786,0.00178786,0.00178786
77,11653.4,0.21359,2.18528,0.16941,0.21171,0.96854,0.99845,1,0.995,0.95086,0.96908,0.97059,0.96037,0.48114,0.46382,2.30821,0.16309,0.27408,0.79865,0.00178503,0.00178503,0.00178503
78,11808.6,0.21593,2.05641,0.16001,0.20717,0.96915,0.99848,1,0.995,0.95951,0.99848,1,0.995,0.67476,0.42319,1.55026,0.17185,0.28039,0.74335,0.0017822,0.0017822,0.0017822
79,11962,0.20087,2.06084,0.16624,0.2018,0.95669,0.9978,1,0.995,0.95616,0.94276,0.96887,0.92875,0.47427,0.39139,1.99042,0.18049,0.29836,0.69178,0.00177937,0.00177937,0.00177937
80,12095.5,0.19871,1.92365,0.17021,0.19024,0.96341,0.9983,1,0.995,0.94597,0.96894,0.97059,0.98392,0.54979,0.40496,1.98631,0.17052,0.27133,0.72114,0.00177654,0.00177654,0.00177654
81,12245.4,0.2103,1.99259,0.15934,0.20689,0.96166,0.98867,1,0.995,0.96818,0.93028,0.94118,0.94727,0.55196,0.3993,1.81682,0.1607,0.28567,0.75717,0.00177371,0.00177371,0.00177371
82,12395.5,0.23239,2.087,0.16193,0.21386,0.98005,0.99763,1,0.995,0.96206,0.79997,0.82337,0.81656,0.47631,0.40636,2.22027,0.18015,0.2838,0.72365,0.00177089,0.00177089,0.00177089
83,12544.8,0.24263,2.40591,0.17041,0.21142,0.97287,0.99806,1,0.995,0.96191,0.99806,1,0.995,0.5382,0.39871,1.92367,0.15594,0.28396,0.69787,0.00176806,0.00176806,0.00176806
84,12698.1,0.22982,2.2372,0.15477,0.19836,0.97382,0.99827,1,0.995,0.96721,0.99827,1,0.995,0.59345,0.40987,1.78705,0.16746,0.28796,0.77805,0.00176523,0.00176523,0.00176523
85,12850.3,0.20839,2.09379,0.15815,0.19296,0.96452,0.99845,1,0.995,0.9621,0.99845,1,0.995,0.57289,0.39779,1.78674,0.15567,0.27128,0.72611,0.0017624,0.0017624,0.0017624
86,13001.2,0.23649,2.39447,0.16709,0.20327,0.97576,0.99802,1,0.995,0.96018,0.93932,0.94118,0.93086,0.46226,0.42651,1.98142,0.18101,0.26868,0.77211,0.00175957,0.00175957,0.00175957
87,13151,0.21682,2.23217,0.15943,0.19389,0.95369,0.99809,1,0.995,0.9564,0.93934,0.94118,0.93327,0.46399,0.36336,2.2625,0.15239,0.23859,0.67924,0.00175674,0.00175674,0.00175674
88,13306.6,0.21877,2.20644,0.1614,0.18946,0.98736,0.99784,1,0.995,0.95901,0.8511,0.85294,0.77872,0.46491,0.37707,2.43512,0.15664,0.2639,0.70228,0.00175391,0.00175391,0.00175391
89,13459.4,0.21573,2.00191,0.16049,0.19557,0.95211,0.99906,1,0.995,0.93698,0.99444,0.97059,0.97943,0.50903,0.43803,2.18666,0.16949,0.28908,0.80129,0.00175109,0.00175109,0.00175109
90,13615.8,0.20028,2.03477,0.15454,0.18841,0.95362,0.99669,1,0.995,0.97304,0.93807,0.94118,0.90075,0.37351,0.4153,2.38783,0.16524,0.29964,0.74301,0.00174826,0.00174826,0.00174826
91,13768.9,0.2102,2.18643,0.15817,0.20297,0.95893,0.99451,1,0.995,0.95918,0.99451,1,0.995,0.48116,0.45006,2.25708,0.16138,0.33326,0.76552,0.00174543,0.00174543,0.00174543
92,13919.8,0.21348,2.00454,0.15219,0.20216,0.95356,0.99188,1,0.995,0.90817,0.99188,1,0.995,0.53705,0.45589,1.66208,0.15129,0.43412,0.78789,0.0017426,0.0017426,0.0017426
93,14071.9,0.2061,1.75488,0.15719,0.18879,0.9383,0.96413,0.97059,0.99113,0.92241,0.83597,0.70588,0.77484,0.42849,0.4553,3.77463,0.1677,0.4254,0.752,0.00173977,0.00173977,0.00173977
94,14226.5,0.21364,1.87349,0.15978,0.19291,0.95189,0.92597,1,0.98889,0.93655,0.87483,0.94118,0.94721,0.5469,0.39852,1.94863,0.14242,0.39365,0.71641,0.00173694,0.00173694,0.00173694
95,14377.8,0.22028,1.97934,0.17188,0.19453,0.95564,0.96409,1,0.99357,0.93222,0.82975,0.85294,0.82917,0.41508,0.39647,2.60967,0.16775,0.31396,0.74163,0.00173411,0.00173411,0.00173411
96,14550.9,0.2051,1.90457,0.15813,0.19492,0.9251,0.99842,1,0.995,0.94165,0.94021,0.94118,0.94955,0.51096,0.40304,2.18662,0.1475,0.29316,0.72633,0.00173129,0.00173129,0.00173129
97,14701.6,0.20795,1.71859,0.15178,0.19874,0.95392,0.99991,1,0.995,0.9683,0.84564,0.82353,0.83268,0.46555,0.39393,2.62492,0.17725,0.31324,0.71255,0.00172846,0.00172846,0.00172846
98,14851.6,0.21588,1.77451,0.15331,0.20785,0.95488,1,0.99902,0.995,0.93529,0.9688,0.94118,0.961,0.67314,0.46092,1.53189,0.15798,0.31292,0.76684,0.00172563,0.00172563,0.00172563
99,15005.4,0.22581,1.82514,0.16504,0.19432,0.95827,0.99845,1,0.995,0.96249,0.91035,0.91176,0.91126,0.49205,0.36942,2.4082,0.17096,0.23985,0.66737,0.0017228,0.0017228,0.0017228
100,15156.5,0.20799,1.80629,0.15854,0.19783,0.94838,0.99834,1,0.995,0.95047,0.99834,1,0.995,0.61378,0.41679,1.71959,0.16313,0.2717,0.74766,0.00171997,0.00171997,0.00171997
101,15309.6,0.2112,1.70156,0.15815,0.19912,0.96144,0.9984,1,0.995,0.96234,0.88165,0.88235,0.92638,0.52864,0.37832,2.0826,0.16799,0.24607,0.67512,0.00171714,0.00171714,0.00171714
102,15468.5,0.20711,1.67576,0.14969,0.19839,0.94755,0.99831,1,0.995,0.96084,0.99831,1,0.995,0.59756,0.39642,1.59863,0.16229,0.30436,0.69723,0.00171431,0.00171431,0.00171431
